DISTRITO,AGRUPACION POLITICA,LISTA,VOTOS
CAPITAL FEDERAL,ELECTORES HABILES,,2571609
CAPITAL FEDERAL,VAMOS JUNTOS,,943022
CAPITAL FEDERAL,VAMOS JUNTOS,A - SIGAMOS CON EL CAMBIO,943022
CAPITAL FEDERAL,UNIDAD PORTEÑA,,394380
CAPITAL FEDERAL,UNIDAD PORTEÑA,A - UNIDAD CIUDADANA,297937
CAPITAL FEDERAL,UNIDAD PORTEÑA,C - HONESTIDAD Y CORAJE,52737
CAPITAL FEDERAL,UNIDAD PORTEÑA,B - AHORA BUENOS AIRES,43706
CAPITAL FEDERAL,EVOLUCION,,248129
CAPITAL FEDERAL,EVOLUCION,A - SUMA +,248129
CAPITAL FEDERAL,AVANCEMOS HACIA 1PAIS MEJOR,,74713
CAPITAL FEDERAL,AVANCEMOS HACIA 1PAIS MEJOR,A - 1PAIS,74713
CAPITAL FEDERAL,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,72257
CAPITAL FEDERAL,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,A - 1ROJA,72257
CAPITAL FEDERAL,AUTODETERMINACION Y LIBERTAD,,70909
CAPITAL FEDERAL,AUTODETERMINACION Y LIBERTAD,A - QUE LOS PUEBLOS MANDEN,70909
CAPITAL FEDERAL,CONVOCATORIA ABIERTA POR BUENOS AIRES,,20977
CAPITAL FEDERAL,CONVOCATORIA ABIERTA POR BUENOS AIRES,A - POPULAR Y SOCIALISTAS,14101
CAPITAL FEDERAL,CONVOCATORIA ABIERTA POR BUENOS AIRES,B - LA DIGNIDAD - IP,6876
CAPITAL FEDERAL,IZQUIERDA AL FRENTE POR EL SOCIALISMO,,15674
CAPITAL FEDERAL,IZQUIERDA AL FRENTE POR EL SOCIALISMO,A - UNIDAD DE LA IZQUIERDA,15674
CAPITAL FEDERAL,HUMANISTA,,9255
CAPITAL FEDERAL,HUMANISTA,A - NARANJA,9255
CAPITAL FEDERAL,RENOVADOR FEDERAL,,6297
